sim/none/none                                      Do nothing.
sim/ignition/ignition_down_4                       Ignition key down one notch for engine #4.
sim/ignition/ignition_down_5                       Ignition key down one notch for engine #5.
sim/ignition/ignition_down_6                       Ignition key down one notch for engine #6.
sim/ignition/ignition_down_7                       Ignition key down one notch for engine #7.
sim/ignition/ignition_down_8                       Ignition key down one notch for engine #8.
sim/ignition/ignition_up_1                         Ignition key up one notch for engine #1.
sim/ignition/ignition_up_2                         Ignition key up one notch for engine #2.
sim/ignition/ignition_up_3                         Ignition key up one notch for engine #3.
sim/ignition/ignition_up_4                         Ignition key up one notch for engine #4.
sim/ignition/ignition_up_5                         Ignition key up one notch for engine #5.
sim/ignition/ignition_up_6                         Ignition key up one notch for engine #6.
sim/ignition/ignition_up_7                         Ignition key up one notch for engine #7.
sim/ignition/ignition_up_8                         Ignition key up one notch for engine #8.
sim/igniters/igniter_arm_off_1                     Igniter #1 arm off.
sim/igniters/igniter_arm_off_2                     Igniter #2 arm off.
sim/igniters/igniter_arm_off_3                     Igniter #3 arm off.
sim/igniters/igniter_arm_off_4                     Igniter #4 arm off.
sim/igniters/igniter_arm_off_5                     Igniter #5 arm off.
sim/igniters/igniter_arm_off_6                     Igniter #6 arm off.
sim/igniters/igniter_arm_off_7                     Igniter #7 arm off.
sim/igniters/igniter_arm_off_8                     Igniter #8 arm off.
sim/igniters/igniter_arm_on_1                      Igniter #1 arm on.
sim/igniters/igniter_arm_on_2                      Igniter #2 arm on.
sim/igniters/igniter_arm_on_3                      Igniter #3 arm on.
sim/igniters/igniter_arm_on_4                      Igniter #4 arm on.
sim/igniters/igniter_arm_on_5                      Igniter #5 arm on.
sim/igniters/igniter_arm_on_6                      Igniter #6 arm on.
sim/igniters/igniter_arm_on_7                      Igniter #7 arm on.
sim/igniters/igniter_arm_on_8                      Igniter #8 arm on.
sim/igniters/igniter_contin_off_1                  Igniter #1 contin-ignition off.
sim/igniters/igniter_contin_off_2                  Igniter #2 contin-ignition off.
sim/igniters/igniter_contin_off_3                  Igniter #3 contin-ignition off.
sim/igniters/igniter_contin_off_4                  Igniter #4 contin-ignition off.
sim/igniters/igniter_contin_off_5                  Igniter #5 contin-ignition off.
sim/igniters/igniter_contin_off_6                  Igniter #6 contin-ignition off.
sim/igniters/igniter_contin_off_7                  Igniter #7 contin-ignition off.
sim/igniters/igniter_contin_off_8                  Igniter #8 contin-ignition off.
sim/igniters/igniter_contin_on_1                   Igniter #1 contin-ignition on.
sim/igniters/igniter_contin_on_2                   Igniter #2 contin-ignition on.
sim/igniters/igniter_contin_on_3                   Igniter #3 contin-ignition on.
sim/igniters/igniter_contin_on_4                   Igniter #4 contin-ignition on.
sim/igniters/igniter_contin_on_5                   Igniter #5 contin-ignition on.
sim/igniters/igniter_contin_on_6                   Igniter #6 contin-ignition on.
sim/igniters/igniter_contin_on_7                   Igniter #7 contin-ignition on.
sim/igniters/igniter_contin_on_8                   Igniter #8 contin-ignition on.
sim/starters/engage_starter_1                      Engage starter #1.
sim/starters/engage_starter_2                      Engage starter #2.
