sim/none/none                                      Do nothing.
sim/radios/stby_nav2_fine_down                     NAV 2 standby fine down.
sim/radios/stby_nav2_fine_up                       NAV 2 standby fine up.
sim/radios/actv_dme_coarse_down                    DME coarse down.
sim/radios/actv_dme_coarse_up                      DME coarse up.
sim/radios/actv_dme_fine_down                      DME fine down.
sim/radios/actv_dme_fine_up                        DME fine up.
sim/radios/stby_dme_coarse_down                    DME standby coarse down.
sim/radios/stby_dme_coarse_up                      DME standby coarse up.
sim/radios/stby_dme_fine_down                      DME standby fine down.
sim/radios/stby_dme_fine_up                        DME standby fine up.
sim/radios/actv_adf1_hundreds_down                 ADF active 1 hundreds down.
sim/radios/actv_adf1_hundreds_up                   ADF active 1 hundreds up.
sim/radios/actv_adf1_tens_down                     ADF active 1 tens down.
sim/radios/actv_adf1_tens_up                       ADF active 1 tens up.
sim/radios/actv_adf1_ones_down                     ADF active 1 ones down.
sim/radios/actv_adf1_ones_up                       ADF active 1 ones up.
sim/radios/actv_adf1_ones_tens_down                ADF active 1 ones and tens down.
sim/radios/actv_adf1_ones_tens_up                  ADF active 1 ones and tens up.
sim/radios/actv_adf1_hundreds_thous_down           ADF active 1 hundreds and thousands down.
sim/radios/actv_adf1_hundreds_thous_up             ADF active 1 hundreds and thousands up.
sim/radios/actv_adf1_4dig_hundreds_down            4-digit ADF active 1 hundreds down.
sim/radios/actv_adf1_4dig_hundreds_up              4-digit ADF active 1 hundreds up.
sim/radios/actv_adf1_4dig_tens_down                4-digit ADF active 1 tens down.
sim/radios/actv_adf1_4dig_tens_up                  4-digit ADF active 1 tens up.
sim/radios/actv_adf1_4dig_ones_down                4-digit ADF active 1 ones down.
sim/radios/actv_adf1_4dig_ones_up                  4-digit ADF active 1 ones up.
sim/radios/stby_adf1_hundreds_down                 ADF standby 1 hundreds down.
sim/radios/stby_adf1_hundreds_up                   ADF standby 1 hundreds up.
sim/radios/stby_adf1_tens_down                     ADF standby 1 tens down.
sim/radios/stby_adf1_tens_up                       ADF standby 1 tens up.
sim/radios/stby_adf1_ones_down                     ADF standby 1 ones down.
sim/radios/stby_adf1_ones_up                       ADF standby 1 ones up.
sim/radios/stby_adf1_ones_tens_down                ADF standby 1 ones and tens down.
sim/radios/stby_adf1_ones_tens_up                  ADF standby 1 ones and tens up.
sim/radios/stby_adf1_hundreds_thous_down           ADF standby 1 hundreds and thousands down.
sim/radios/stby_adf1_hundreds_thous_up             ADF standby 1 hundreds and thousands up.
sim/radios/stby_adf1_4dig_hundreds_down            4-digit ADF standby 1 hundreds down.
sim/radios/stby_adf1_4dig_hundreds_up              4-digit ADF standby 1 hundreds up.
sim/radios/stby_adf1_4dig_tens_down                4-digit ADF standby 1 tens down.
sim/radios/stby_adf1_4dig_tens_up                  4-digit ADF standby 1 tens up.
sim/radios/stby_adf1_4dig_ones_down                4-digit ADF standby 1 ones down.
sim/radios/stby_adf1_4dig_ones_up                  4-digit ADF standby 1 ones up.
sim/radios/actv_adf2_hundreds_down                 ADF active 2 hundreds down.
sim/radios/actv_adf2_hundreds_up                   ADF active 2 hundreds up.
sim/radios/actv_adf2_tens_down                     ADF active 2 tens down.
sim/radios/actv_adf2_tens_up                       ADF active 2 tens up.
sim/radios/actv_adf2_ones_down                     ADF active 2 ones down.
sim/radios/actv_adf2_ones_up                       ADF active 2 ones up.
sim/radios/actv_adf2_ones_tens_down                ADF active 2 ones and tens down.
sim/radios/actv_adf2_ones_tens_up                  ADF active 2 ones and tens up.
sim/radios/actv_adf2_hundreds_thous_down           ADF active 2 hundreds and thousands down.
sim/radios/actv_adf2_hundreds_thous_up             ADF active 2 hundreds and thousands up.
sim/radios/actv_adf2_4dig_hundreds_down            4-digit ADF active 2 hundreds down.
sim/radios/actv_adf2_4dig_hundreds_up              4-digit ADF active 2 hundreds up.
sim/radios/actv_adf2_4dig_tens_down                4-digit ADF active 2 tens down.
sim/radios/actv_adf2_4dig_tens_up                  4-digit ADF active 2 tens up.
sim/radios/actv_adf2_4dig_ones_down                4-digit ADF active 2 ones down.
sim/radios/actv_adf2_4dig_ones_up                  4-digit ADF active 2 ones up.
sim/radios/stby_adf2_hundreds_down                 ADF standby 2 hundreds down.
sim/radios/stby_adf2_hundreds_up                   ADF standby 2 hundreds up.
sim/radios/stby_adf2_tens_down                     ADF standby 2 tens down.
sim/radios/stby_adf2_tens_up                       ADF standby 2 tens up.
sim/radios/stby_adf2_ones_down                     ADF standby 2 ones down.
sim/radios/stby_adf2_ones_up                       ADF standby 2 ones up.
sim/radios/stby_adf2_ones_tens_down                ADF standby 2 ones and tens down.
sim/radios/stby_adf2_ones_tens_up                  ADF standby 2 ones and tens up.
sim/radios/stby_adf2_hundreds_thous_down           ADF standby 2 hundreds and thousands down.
sim/radios/stby_adf2_hundreds_thous_up             ADF standby 2 hundreds and thousands up.
sim/radios/stby_adf2_4dig_hundreds_down            4-digit ADF standby 2 hundreds down.
sim/radios/stby_adf2_4dig_hundreds_up              4-digit ADF standby 2 hundreds up.
sim/radios/stby_adf2_4dig_tens_down                4-digit ADF standby 2 tens down.
sim/radios/stby_adf2_4dig_tens_up                  4-digit ADF standby 2 tens up.
sim/radios/stby_adf2_4dig_ones_down                4-digit ADF standby 2 ones down.
sim/radios/stby_adf2_4dig_ones_up                  4-digit ADF standby 2 ones up.
sim/transponder/transponder_digit_0                Transponder digit to 0.
sim/transponder/transponder_digit_1                Transponder digit to 1.
sim/transponder/transponder_digit_2                Transponder digit to 2.
sim/transponder/transponder_digit_3                Transponder digit to 3.
sim/transponder/transponder_digit_4                Transponder digit to 4.
sim/transponder/transponder_digit_5                Transponder digit to 5.
sim/transponder/transponder_digit_6                Transponder digit to 6.
sim/transponder/transponder_digit_7                Transponder digit to 7.
sim/transponder/transponder_CLR                    Transponder reset to first digit.
sim/transponder/transponder_thousands_down         Transponder thousands down.
sim/transponder/transponder_thousands_up           Transponder thousands up.
sim/transponder/transponder_hundreds_down          Transponder hundreds down.
sim/transponder/transponder_hundreds_up            Transponder hundreds up.
sim/transponder/transponder_tens_down              Transponder tens down.
sim/transponder/transponder_tens_up                Transponder tens up.
sim/transponder/transponder_ones_down              Transponder ones down.
sim/transponder/transponder_ones_up                Transponder ones up.
sim/transponder/transponder_12_down                Transponder digits 1 and 2 down.
sim/transponder/transponder_12_up                  Transponder digits 1 and 2 up.
sim/transponder/transponder_34_down                Transponder digits 3 and 4 down.
sim/transponder/transponder_34_up                  Transponder digits 3 and 4 up.
sim/audio_panel/transmit_audio_com1                Transmit audio: COM1.
sim/audio_panel/transmit_audio_com2                Transmit audio: COM2.
sim/audio_panel/monitor_audio_com1                 Monitor audio: COM1.
sim/audio_panel/monitor_audio_com2                 Monitor audio: COM2.
sim/audio_panel/monitor_audio_nav1                 Monitor audio: NAV1.
sim/audio_panel/monitor_audio_nav2                 Monitor audio: NAV2.
sim/audio_panel/monitor_audio_adf1                 Monitor audio: ADF2.
sim/audio_panel/monitor_audio_adf2                 Monitor audio: ADF2.
sim/audio_panel/monitor_audio_dme                  Monitor audio: DME.
sim/audio_panel/monitor_audio_mkr                  Monitor audio: MKR.
sim/transponder/transponder_ident                  Transponder ID.
sim/transponder/transponder_off                    Transponder off.
sim/transponder/transponder_standby                Transponder standby.
sim/transponder/transponder_on                     Transponder on.
sim/transponder/transponder_alt                    Transponder alt.
sim/transponder/transponder_test                   Transponder test.
sim/transponder/transponder_ground                 Transponder ground.
sim/transponder/transponder_dn                     Transponder mode down.
sim/transponder/transponder_up                     Transponder mode up.
sim/radios/nav1_standy_flip                        NAV 1 flip standby.
sim/radios/nav2_standy_flip                        NAV 2 flip standby.
sim/radios/com1_standy_flip                        COM 1 flip standby.
sim/radios/com2_standy_flip                        COM 2 flip standby.
sim/radios/adf1_standy_flip                        ADF 1 flip standby.
sim/radios/adf2_standy_flip                        ADF 2 flip standby.
sim/radios/dme_standby_flip                        DME flip standby.
sim/radios/RMI_L_tog                               RMI left NAV toggle VOR/NDB.
sim/radios/RMI_R_tog                               RMI right NAV toggle VOR/NDB.
sim/radios/copilot_RMI_L_tog_cop                   Copilot RMI left NAV toggle VOR/NDB.
sim/radios/copilot_RMI_R_tog_cop                   Copilot RMI right NAV toggle VOR/NDB.
sim/instruments/ECAM_mode_up                       ECAM mode up.
sim/instruments/ECAM_mode_down                     ECAM mode down.
sim/instruments/map_zoom_in                        Zoom in EFIS map.
sim/instruments/map_zoom_out                       Zoom out EFIS map.
sim/instruments/EFIS_wxr                           EFIS map weather.
sim/instruments/EFIS_tcas                          EFIS map TCAS.
sim/instruments/EFIS_apt                           EFIS map airport.
sim/instruments/EFIS_fix                           EFIS map fix.
sim/instruments/EFIS_vor                           EFIS map VOR.
sim/instruments/EFIS_ndb                           EFIS map NDB.
sim/instruments/EFIS_page_up                       EFIS page up.
sim/instruments/EFIS_page_dn                       EFIS page down.
sim/instruments/EFIS_mode_up                       EFIS mode up (APP/VOR/MAP/PLN)
sim/instruments/EFIS_mode_dn                       EFIS mode down (PLN/MAP/VOR/APP)
sim/instruments/EFIS_1_pilot_sel_dn                EFIS 1 selection pilot down (ADF/off/VOR)
sim/instruments/EFIS_1_pilot_sel_up                EFIS 1 selection pilot up (ADF/off/VOR)
sim/instruments/EFIS_1_copilot_sel_dn              EFIS 1 selection copilot down (ADF/off/VOR)
sim/instruments/EFIS_1_copilot_sel_up              EFIS 1 selection copilot up (ADF/off/VOR)
sim/instruments/EFIS_2_pilot_sel_dn                EFIS 2 selection pilot down (ADF/off/VOR)
sim/instruments/EFIS_2_pilot_sel_up                EFIS 2 selection pilot up (ADF/off/VOR)
sim/instruments/EFIS_2_copilot_sel_dn              EFIS 2 selection copilot down (ADF/off/VOR)
sim/instruments/EFIS_2_copilot_sel_up              EFIS 2 selection copilot up (ADF/off/VOR)
sim/radios/obs1_down                               OBS 1 down.
sim/radios/obs1_up                                 OBS 1 up.
sim/radios/obs2_down                               OBS 2 down.
sim/radios/obs2_up                                 OBS 2 up.
sim/radios/obs_HSI_down                            OBS HSI down.
sim/radios/obs_HSI_up                              OBS HSI up.
sim/radios/adf1_card_down                          ADF card 1 down.
sim/radios/adf1_card_up                            ADF card 1 up.
sim/radios/adf2_card_down                          ADF card 2 down.
sim/radios/adf2_card_up                            ADF card 2 up.
sim/radios/copilot_obs1_down                       Copilot OBS 1 down.
sim/radios/copilot_obs1_up                         Copilot OBS 1 up.
sim/radios/copilot_obs2_down                       Copilot OBS 2 down.
sim/radios/copilot_obs2_up                         Copilot OBS 2 up.
sim/radios/copilot_obs_HSI_down                    Copilot OBS HSI down.
sim/radios/copilot_obs_HSI_up                      Copilot OBS HSI up.
sim/radios/copilot_adf1_card_down                  Copilot ADF card 1 down.
sim/radios/copilot_adf1_card_up                    Copilot ADF card 1 up.
sim/radios/copilot_adf2_card_down                  Copilot ADF card 2 down.
sim/radios/copilot_adf2_card_up                    Copilot ADF card 2 up.
sim/autopilot/hsi_select_down                      HSI select down one.
sim/autopilot/hsi_select_up                        HSI select up one.
sim/autopilot/hsi_select_nav_1                     HSI shows NAV 1.
sim/autopilot/hsi_select_nav_2                     HSI shows NAV 2.
sim/autopilot/hsi_select_gps                       HSI shows GPS.
sim/autopilot/hsi_select_copilot_down              HSI select down one, copilot.
sim/autopilot/hsi_select_copilot_up                HSI select up one, copilot.
sim/autopilot/hsi_select_copilot_nav_1             HSI shows NAV 1, copilot.
sim/autopilot/hsi_select_copilot_nav_2             HSI shows NAV 2, copilot.
sim/autopilot/hsi_select_copilot_gps               HSI shows GPS, copilot.
sim/flight_controls/carrier_ILS                    Set the radios for the carrier ILS.
sim/autopilot/source_01                            Autopilot pitot static source, 0 or 1
sim/autopilot/fdir_on                              Flight director on.
sim/autopilot/fdir_toggle                          Flight director toggle.
sim/autopilot/servos_on                            Servos on.
sim/autopilot/servos_toggle                        Servos toggle.
sim/autopilot/fdir_servos_down_one                 Flight director down (on/FDIR/off).
sim/autopilot/fdir_servos_up_one                   Flight director up (off/FDIR/on).
sim/autopilot/servos_fdir_off                      Disco servos, flt dir.
sim/autopilot/servos_fdir_yawd_off                 Disco servos, flt dir, yaw damp.
sim/autopilot/servos_fdir_yawd_trim_off            Disco servos, flt dir, yaw damp, trim.
sim/autopilot/control_wheel_steer                  Control wheel steering mode.
sim/autopilot/autothrottle_on                      Autopilot auto-throttle on.
sim/autopilot/autothrottle_off                     Autopilot auto-throttle off.
sim/autopilot/autothrottle_toggle                  Autopilot auto-throttle toggle.
sim/autopilot/heading                              Autopilot heading-select.
sim/autopilot/heading_hold                         Autopilot heading-hold.
sim/autopilot/wing_leveler                         Autopilot wing-level.
sim/autopilot/NAV                                  Autopilot VOR/LOC arm.
sim/autopilot/vertical_speed                       Autopilot vertical speed, at current VSI.
sim/autopilot/vertical_speed_pre_sel               Autopilot vertical speed, at pre-sel VSI.
sim/autopilot/pitch_sync                           Autopilot pitch-sync.
sim/autopilot/level_change                         Autopilot level change.
sim/autopilot/altitude_hold                        Autopilot altitude select or hold.
sim/autopilot/terrain_following                    Autopilot terrain-mode following.
sim/autopilot/take_off_go_around                   Autopilot take-off go-around.
sim/autopilot/reentry                              Autopilot re-entry.
sim/autopilot/glide_slope                          Autopilot glideslope.
sim/autopilot/vnav                                 Autopilot VNAV for G1000.
sim/autopilot/gpss                                 Autopilot GPS Steering.
sim/autopilot/airspeed_sync                        Autopilot airspeed sync.
sim/autopilot/heading_sync                         Autopilot heading sync.
sim/autopilot/vertical_speed_sync                  Autopilot VVI sync.
sim/autopilot/altitude_sync                        Autopilot altitude sync.
sim/autopilot/heading_down                         Autopilot heading down.
sim/autopilot/heading_up                           Autopilot heading up.
sim/autopilot/heading_copilot_down                 Autopilot heading copilot down.
sim/autopilot/heading_copilot_up                   Autopilot heading copilot up.
sim/autopilot/airspeed_down                        Autopilot airspeed down.
sim/autopilot/airspeed_up                          Autopilot airspeed up.
sim/autopilot/vertical_speed_down                  Autopilot VVI down.
sim/autopilot/vertical_speed_up                    Autopilot VVI up.
sim/autopilot/altitude_down                        Autopilot altitude down.
sim/autopilot/altitude_up                          Autopilot altitude up.
sim/autopilot/nose_down                            Autopilot nose down.
sim/autopilot/nose_up                              Autopilot nose up.
sim/autopilot/nose_down_pitch_mode                 Autopilot nose down, go into pitch mode.
sim/autopilot/nose_up_pitch_mode                   Autopilot nose up, go into pitch mode
sim/autopilot/override_left                        Autopilot override left: Go to ROL mode.
sim/autopilot/override_right                       Autopilot override right: Go to ROL mode.
sim/autopilot/override_up                          Autopilot override up: Go to SYN mode.
sim/autopilot/override_down                        Autopilot override down: Go to SYN mode.
sim/autopilot/altitude_arm                         Autopilot altitude hold ARM.
sim/autopilot/approach                             Autopilot approach.
sim/autopilot/back_course                          Autopilot back-course.
sim/autopilot/knots_mach_toggle                    Toggle knots-Mach airspeeed hold.
sim/autopilot/FMS                                  Autopilot FMS altitude.
sim/autopilot/bank_limit_down                      Bank angle limit down.
sim/autopilot/bank_limit_up                        Bank angle limit up.
sim/autopilot/bank_limit_toggle                    Bank angle limit toggle.
sim/autopilot/soft_ride_toggle                     Soft ride toggle.
sim/electrical/dc_volt_dn                          DC Voltmeter down.
sim/electrical/dc_volt_up                          DC Voltmeter up.
sim/electrical/dc_volt_ext                         DC Voltmeter external power.
sim/electrical/dc_volt_ctr                         DC Voltmeter center.
sim/electrical/dc_volt_lft                         DC Voltmeter left.
sim/electrical/dc_volt_rgt                         DC Voltmeter right.
sim/electrical/dc_volt_tpl                         DC Voltmeter TPL-fed.
sim/electrical/dc_volt_bat                         DC Voltmeter battery.
sim/HUD/power_toggle                               HUD toggle power.
sim/HUD/brightness_toggle                          HUD toggle brightness.
sim/systems/total_energy_audio_toggle              Toggle total-energy audio.
sim/instruments/thermo_units_toggle                Toggle english/metric thermometer.
sim/instruments/barometer_2992                     Baro pressure selection 2992.
sim/instruments/DG_sync_down                       vacuum DG sync down.
sim/instruments/DG_sync_up                         vacuum DG sync up.
sim/instruments/DG_sync_mag                        vacuum DG sync to magentic north.
sim/instruments/copilot_DG_sync_down               Copilot vacuum DG sync down.
sim/instruments/copilot_DG_sync_up                 Copilot vacuum DG sync up.
sim/instruments/copilot_DG_sync_mag                Copilot vacuum DG sync to magnetic north.
sim/instruments/free_gyro                          electric DG free.
sim/instruments/slave_gyro                         electric DG slave.
sim/instruments/copilot_free_gyro                  Copilot electric DG free.
sim/instruments/copilot_slave_gyro                 Copilot electric DG slave.
sim/instruments/free_gyro_down                     electric DG free sync down.
sim/instruments/free_gyro_up                       electric DG free sync up.
sim/instruments/copilot_free_gyro_down             Copilot electric DG free sync down.
sim/instruments/copilot_free_gyro_up               Copilot electric DG free sync up.
sim/instruments/ah_ref_down                        Horizon reference down a bit.
sim/instruments/ah_ref_up                          Horizon reference up a bit.
sim/instruments/ah_ref_copilot_down                Horizon reference down a bit, copilot.
sim/instruments/ah_ref_copilot_up                  Horizon reference down a bit, copilot.
sim/instruments/barometer_down                     Baro selection down a bit.
sim/instruments/barometer_up                       Baro selection up a bit.
sim/instruments/barometer_copilot_down             Baro selection down a bit, copilot.
sim/instruments/barometer_copilot_up               Baro selection up a bit, copilot.
sim/instruments/dh_ref_down                        Decision-height reference down.
sim/instruments/dh_ref_up                          Decision-height reference up.
sim/instruments/dh_ref_copilot_down                Decision-height reference copilot down.
sim/instruments/dh_ref_copilot_up                  Decision-height reference copilot up.
sim/instruments/panel_bright_down                  Panel brightness down a bit.
sim/instruments/panel_bright_up                    Panel brightness up a bit.
sim/instruments/instrument_bright_down             Instrument brightness down a bit.
sim/instruments/instrument_bright_up               Instrument brightness up a bit.
sim/annunciator/test_all_annunciators              Test all annunciators.
sim/annunciator/test_stall                         Test stall warn.
sim/annunciator/test_fire_1_annun                  Test fire 1 annunciator.
sim/annunciator/test_fire_2_annun                  Test fire 2 annunciator.
sim/annunciator/test_fire_3_annun                  Test fire 3 annunciator.
sim/annunciator/test_fire_4_annun                  Test fire 4 annunciator.
sim/annunciator/test_fire_5_annun                  Test fire 5 annunciator.
sim/annunciator/test_fire_6_annun                  Test fire 6 annunciator.
sim/annunciator/test_fire_7_annun                  Test fire 7 annunciator.
sim/annunciator/test_fire_8_annun                  Test fire 8 annunciator.
sim/annunciator/clear_master_caution               Clear master caution.
sim/annunciator/clear_master_warning               Clear master warning.
sim/annunciator/clear_master_accept                Clear master accept.
sim/FMS/ls_1l                                      FMS: line select 1l
sim/FMS/ls_2l                                      FMS: line select 2l
sim/FMS/ls_3l                                      FMS: line select 3l
sim/FMS/ls_4l                                      FMS: line select 4l
sim/FMS/ls_5l                                      FMS: line select 5l
sim/FMS/ls_6l                                      FMS: line select 6l
sim/FMS/ls_1r                                      FMS: line select 1r
sim/FMS/ls_2r                                      FMS: line select 2r
sim/FMS/ls_3r                                      FMS: line select 3r
sim/FMS/ls_4r                                      FMS: line select 4r
sim/FMS/ls_5r                                      FMS: line select 5r
sim/FMS/ls_6r                                      FMS: line select 6r
sim/FMS/index                                      FMS: INDEX
sim/FMS/fpln                                       FMS: FPLN
sim/FMS/clb                                        FMS: CLB
sim/FMS/crz                                        FMS: CRZ
sim/FMS/des                                        FMS: DES
sim/FMS/dir_intc                                   FMS: DIR/INTC
sim/FMS/legs                                       FMS: FPLN
sim/FMS/dep_arr                                    FMS: DEP/ARR
sim/FMS/hold                                       FMS: HOLD
sim/FMS/prog                                       FMS: PROG
sim/FMS/exec                                       FMS: EXEC
sim/FMS/fix                                        FMS: FIX
sim/FMS/navrad                                     FMS: NAVRAD
sim/FMS/init                                       FMS: init
sim/FMS/prev                                       FMS: prev
sim/FMS/next                                       FMS: next
sim/FMS/clear                                      FMS: clear
sim/FMS/direct                                     FMS: direct
sim/FMS/sign                                       FMS: sign
sim/FMS/type_apt                                   FMS: apt
sim/FMS/type_vor                                   FMS: vor
sim/FMS/type_ndb                                   FMS: ndb
sim/FMS/type_fix                                   FMS: fix
sim/FMS/type_latlon                                FMS: lat/lon
sim/FMS/key_0                                      FMS: key_0
sim/FMS/key_1                                      FMS: key_1
sim/FMS/key_2                                      FMS: key_2
sim/FMS/key_3                                      FMS: key_3
sim/FMS/key_4                                      FMS: key_4
sim/FMS/key_5                                      FMS: key_5
sim/FMS/key_6                                      FMS: key_6
sim/FMS/key_7                                      FMS: key_7
sim/FMS/key_8                                      FMS: key_8
sim/FMS/key_9                                      FMS: key_9
sim/FMS/key_A                                      FMS: key_A
sim/FMS/key_B                                      FMS: key_B
sim/FMS/key_C                                      FMS: key_C
sim/FMS/key_D                                      FMS: key_D
sim/FMS/key_E                                      FMS: key_E
sim/FMS/key_F                                      FMS: key_F
sim/FMS/key_G                                      FMS: key_G
sim/FMS/key_H                                      FMS: key_H
sim/FMS/key_I                                      FMS: key_I
sim/FMS/key_J                                      FMS: key_J
sim/FMS/key_K                                      FMS: key_K
sim/FMS/key_L                                      FMS: key_L
sim/FMS/key_M                                      FMS: key_M
sim/FMS/key_N                                      FMS: key_N
sim/FMS/key_O                                      FMS: key_O
sim/FMS/key_P                                      FMS: key_P
sim/FMS/key_Q                                      FMS: key_Q
sim/FMS/key_R                                      FMS: key_R
sim/FMS/key_S                                      FMS: key_S
sim/FMS/key_T                                      FMS: key_T
sim/FMS/key_U                                      FMS: key_U
sim/FMS/key_V                                      FMS: key_V
sim/FMS/key_W                                      FMS: key_W
sim/FMS/key_X                                      FMS: key_X
sim/FMS/key_Y                                      FMS: key_Y
sim/FMS/key_Z                                      FMS: key_Z
sim/FMS/key_period                                 FMS: key_period
sim/FMS/key_minus                                  FMS: key_minus
sim/FMS/key_slash                                  FMS: key_slash
sim/FMS/key_back                                   FMS: key_back
sim/FMS/key_space                                  FMS: key_space
sim/FMS/key_load                                   FMS: key_load
sim/FMS/key_save                                   FMS: key_save
sim/FMS/key_delete                                 FMS: key_delete
sim/FMS/key_clear                                  FMS: key_clear
sim/FMS/CDU_popup                                  FMS: CDU popup
sim/FMS/CDU_popout                                 FMS: pop out CDU window
sim/FMS/fix_next                                   FMS: next fix
sim/FMS/fix_prev                                   FMS: prev fix
sim/FMS2/ls_1l                                     FMS2: line select 1l
sim/FMS2/ls_2l                                     FMS2: line select 2l
sim/FMS2/ls_3l                                     FMS2: line select 3l
sim/FMS2/ls_4l                                     FMS2: line select 4l
sim/FMS2/ls_5l                                     FMS2: line select 5l
sim/FMS2/ls_6l                                     FMS2: line select 6l
sim/FMS2/ls_1r                                     FMS2: line select 1r
sim/FMS2/ls_2r                                     FMS2: line select 2r
sim/FMS2/ls_3r                                     FMS2: line select 3r
sim/FMS2/ls_4r                                     FMS2: line select 4r
sim/FMS2/ls_5r                                     FMS2: line select 5r
sim/FMS2/ls_6r                                     FMS2: line select 6r
sim/FMS2/index                                     FMS: INDEX
sim/FMS2/fpln                                      FMS2: FPLN
sim/FMS2/clb                                       FMS2: CLB
sim/FMS2/crz                                       FMS2: CRZ
sim/FMS2/des                                       FMS2: DES
sim/FMS2/dir_intc                                  FMS2: DIR/INTC
sim/FMS2/legs                                      FMS2: FPLN
sim/FMS2/dep_arr                                   FMS2: DEP/ARR
sim/FMS2/hold                                      FMS2: HOLD
sim/FMS2/prog                                      FMS2: PROG
sim/FMS2/exec                                      FMS2: EXEC
sim/FMS2/fix                                       FMS2: FIX
sim/FMS2/navrad                                    FMS2: NAVRAD
sim/FMS2/prev                                      FMS2: prev
sim/FMS2/next                                      FMS2: next
sim/FMS2/key_0                                     FMS2: key_0
sim/FMS2/key_1                                     FMS2: key_1
sim/FMS2/key_2                                     FMS2: key_2
sim/FMS2/key_3                                     FMS2: key_3
sim/FMS2/key_4                                     FMS2: key_4
sim/FMS2/key_5                                     FMS2: key_5
sim/FMS2/key_6                                     FMS2: key_6
sim/FMS2/key_7                                     FMS2: key_7
sim/FMS2/key_8                                     FMS2: key_8
sim/FMS2/key_9                                     FMS2: key_9
sim/FMS2/key_A                                     FMS2: key_A
sim/FMS2/key_B                                     FMS2: key_B
sim/FMS2/key_C                                     FMS2: key_C
sim/FMS2/key_D                                     FMS2: key_D
sim/FMS2/key_E                                     FMS2: key_E
sim/FMS2/key_F                                     FMS2: key_F
sim/FMS2/key_G                                     FMS2: key_G
sim/FMS2/key_H                                     FMS2: key_H
sim/FMS2/key_I                                     FMS2: key_I
sim/FMS2/key_J                                     FMS2: key_J
sim/FMS2/key_K                                     FMS2: key_K
sim/FMS2/key_L                                     FMS2: key_L
sim/FMS2/key_M                                     FMS2: key_M
sim/FMS2/key_N                                     FMS2: key_N
sim/FMS2/key_O                                     FMS2: key_O
sim/FMS2/key_P                                     FMS2: key_P
sim/FMS2/key_Q                                     FMS2: key_Q
sim/FMS2/key_R                                     FMS2: key_R
sim/FMS2/key_S                                     FMS2: key_S
sim/FMS2/key_T                                     FMS2: key_T
sim/FMS2/key_U                                     FMS2: key_U
sim/FMS2/key_V                                     FMS2: key_V
sim/FMS2/key_W                                     FMS2: key_W
sim/FMS2/key_X                                     FMS2: key_X
sim/FMS2/key_Y                                     FMS2: key_Y
sim/FMS2/key_Z                                     FMS2: key_Z
sim/FMS2/key_period                                FMS2: key_period
sim/FMS2/key_minus                                 FMS2: key_minus
sim/FMS2/key_slash                                 FMS2: key_slash
sim/FMS2/key_back                                  FMS2: key_back
sim/FMS2/key_space                                 FMS2: key_space
sim/FMS2/key_delete                                FMS2: key_delete
sim/FMS2/key_clear                                 FMS2: key_clear
sim/FMS2/CDU_popout                                FMS2: pop out CDU window
sim/FMS2/CDU_popup                                 FMS2: CDU popup
sim/annunciator/gear_warning_mute                  Mute gear warning horn.
sim/annunciator/marker_beacon_mute                 Mute marker beacons.
sim/systems/pre_rotate_toggle                      Toggle pre-rotate.
sim/flight_controls/pump_flaps                     Pump flaps up/down.
sim/flight_controls/pump_gear                      Pump gear up/down.
sim/GPS/mode_airport                               GPS mode: airports.
sim/GPS/mode_VOR                                   GPS mode: VORs.
sim/GPS/mode_NDB                                   GPS mode: NDBs.
sim/GPS/mode_waypoint                              GPS mode: waypoints.
sim/GPS/fine_select_down                           GPS fine select down.
sim/GPS/fine_select_up                             GPS fine select up.
sim/GPS/coarse_select_down                         GPS coarse select down.
sim/GPS/coarse_select_up                           GPS coarse select up.
sim/GPS/g430n1_coarse_down                         G430 COM/NAV 1 coarse down.
sim/GPS/g430n1_coarse_up                           G430 COM/NAV 1 coarse up.
sim/GPS/g430n1_fine_down                           G430 COM/NAV 1 fine down.
sim/GPS/g430n1_fine_up                             G430 COM/NAV 1 fine up.
sim/GPS/g430n1_chapter_up                          G430 NAV 1 chapter up.
sim/GPS/g430n1_chapter_dn                          G430 NAV 1 chapter dn.
sim/GPS/g430n1_page_up                             G430 NAV 1 page up.
sim/GPS/g430n1_page_dn                             G430 NAV 1 page dn.
sim/GPS/g430n1_zoom_in                             G430 NAV 1 zoom in.
sim/GPS/g430n1_zoom_out                            G430 NAV 1 zoom out.
sim/GPS/g430n1_nav_com_tog                         G430 NAV 1 NAV COM toggle.
sim/GPS/g430n1_cdi                                 G430 NAV 1 CDI.
sim/GPS/g430n1_obs                                 G430 NAV 1 OBS.
sim/GPS/g430n1_msg                                 G430 NAV 1 MSG.
sim/GPS/g430n1_fpl                                 G430 NAV 1 FPL.
sim/GPS/g430n1_proc                                G430 NAV 1 PROC.
sim/GPS/g430n1_vnav                                G430 NAV 1 VNAV.
sim/GPS/g430n1_direct                              G430 NAV 1 Direct.
sim/GPS/g430n1_menu                                G430 NAV 1 Menu.
sim/GPS/g430n1_clr                                 G430 NAV 1 CLR.
sim/GPS/g430n1_ent                                 G430 NAV 1 ENT.
sim/GPS/g430n1_com_ff                              G430 NAV 1 COM flip flop.
sim/GPS/g430n1_nav_ff                              G430 NAV 1 NAV flip flop.
sim/GPS/g430n1_cursor                              G430 NAV 1 push cursor.
